z,zrel,lam1,lam2,lam3
214.4,0.9343539497856705,0.443,0.299,0.258
269.4,0.9175137783221066,0.455,0.291,0.253
313.13,0.9041243110838947,0.469,0.29,0.242
324.4,0.9006736068585426,0.463,0.303,0.234
335.31,0.8973331292100428,0.478,0.281,0.241
346.4,0.893937538273117,0.46,0.28,0.26
357.4,0.8905695039804041,0.458,0.293,0.249
368.95,0.8870330679730557,0.418,0.327,0.255
379.4,0.8838334353949786,0.46,0.297,0.242
390.4,0.8804654011022658,0.473,0.279,0.247
400.85,0.8772657685241886,0.486,0.278,0.236
412.4,0.8737293325168402,0.481,0.271,0.248
423.95,0.8701928965094917,0.477,0.277,0.246
434.95,0.8668248622167789,0.541,0.24,0.22
445.4,0.8636252296387018,0.506,0.277,0.216
455.85,0.8604255970606246,0.502,0.259,0.238
466.85,0.8570575627679118,0.462,0.299,0.239
478.4,0.8535211267605634,0.509,0.271,0.221
500.4,0.8467850581751378,0.477,0.285,0.237
511.4,0.843417023882425,0.521,0.269,0.21
543.49,0.8335915492957746,0.523,0.252,0.225
601.05,0.8159675443968157,0.542,0.245,0.213
653.85,0.7998009797917942,0.569,0.237,0.194
710.5,0.7824556031843233,0.536,0.251,0.213
764.4,0.7659522351500306,0.606,0.222,0.172
833.15,0.7449020208205757,0.622,0.213,0.166
881.55,0.7300826699326393,0.623,0.221,0.156
934.35,0.713916105327618,0.639,0.224,0.137
978.35,0.7004439681567667,0.632,0.211,0.157
1040.0,0.68156766687079,0.694,0.182,0.125
1134.5,0.6526331904470299,0.681,0.217,0.102
1172.0,0.6411512553582364,0.71,0.167,0.123
1224.8,0.6249846907532149,0.694,0.199,0.108
1264.3,0.612890385793019,0.709,0.176,0.115
1319.5,0.5959889773423148,0.711,0.167,0.123
1378.8,0.5778322106552358,0.75,0.148,0.102
1422.6,0.5644213104715248,0.711,0.202,0.087
1442.3,0.5583894672382119,0.73,0.169,0.101
1470.7,0.5496938150642988,0.784,0.112,0.104
1481.7,0.546325780771586,0.755,0.145,0.1
1492.7,0.5429577464788733,0.772,0.14,0.088
1503.7,0.5395897121861604,0.772,0.153,0.074
1514.7,0.5362216778934477,0.744,0.148,0.109
1525.7,0.5328536436007348,0.796,0.135,0.069
1536.7,0.529485609308022,0.749,0.145,0.106
1547.7,0.5261175750153093,0.747,0.157,0.096
1558.7,0.5227495407225964,0.771,0.164,0.066
1569.7,0.5193815064298837,0.759,0.148,0.093
1591.7,0.512645437844458,0.768,0.154,0.078
1602.7,0.5092774035517452,0.759,0.157,0.084
1613.7,0.5059093692590324,0.712,0.179,0.11
1624.7,0.5025413349663197,0.796,0.117,0.087
1635.7,0.4991733006736069,0.749,0.172,0.079
1646.7,0.49580526638089406,0.792,0.154,0.054
1657.7,0.49243723208818124,0.77,0.136,0.093
1668.7,0.4890691977954684,0.755,0.156,0.088
1690.7,0.4823331292100429,0.69,0.178,0.132
1701.7,0.4789650949173301,0.748,0.157,0.094
1712.7,0.47559706062461726,0.712,0.192,0.095
1723.7,0.47222902633190444,0.729,0.217,0.054
1734.7,0.4688609920391916,0.736,0.182,0.083
1745.7,0.4654929577464788,0.828,0.111,0.061
1756.7,0.4621249234537661,0.822,0.127,0.051
1767.7,0.4587568891610533,0.808,0.15,0.042
1778.7,0.45538885486834046,0.847,0.11,0.042
1789.7,0.45202082057562765,0.85,0.101,0.048
1800.7,0.44865278628291483,0.866,0.082,0.052
1811.7,0.4452847519902021,0.841,0.111,0.048
1822.7,0.4419167176974893,0.855,0.096,0.049
1833.7,0.4385486834047765,0.83,0.116,0.055
1855.7,0.43181261481935085,0.859,0.099,0.042
1866.7,0.42844458052663803,0.858,0.099,0.042
1877.7,0.4250765462339253,0.805,0.151,0.044
1888.7,0.4217085119412125,0.803,0.16,0.037
1899.7,0.4183404776484997,0.836,0.114,0.05
1910.7,0.41497244335578687,0.873,0.088,0.039
1921.7,0.41160440906307405,0.813,0.153,0.034
1932.7,0.40823637477036123,0.875,0.093,0.032
1943.7,0.4048683404776485,0.887,0.075,0.039
1954.7,0.4015003061849357,0.875,0.09,0.034
1976.7,0.39476423759951007,0.888,0.083,0.029
1987.7,0.39139620330679725,0.884,0.082,0.034
1998.7,0.38802816901408455,0.898,0.068,0.034
2009.7,0.3846601347213717,0.875,0.092,0.034
2020.7,0.3812921004286589,0.889,0.084,0.027
2031.7,0.3779240661359461,0.914,0.052,0.034
2042.7,0.3745560318432333,0.887,0.089,0.024
2064.7,0.36781996325780775,0.929,0.049,0.022
2075.7,0.36445192896509493,0.875,0.105,0.02
2086.7,0.3610838946723822,0.858,0.116,0.026
2097.7,0.3577158603796694,0.848,0.12,0.032
2108.7,0.3543478260869566,0.907,0.062,0.032
2141.7,0.34424372320881813,0.914,0.06,0.026
2152.7,0.3408756889161054,0.924,0.058,0.018
2163.7,0.3375076546233926,0.89,0.092,0.018
2174.7,0.3341396203306798,0.899,0.082,0.019
2207.7,0.32403551745254144,0.938,0.039,0.024
2218.7,0.3206674831598286,0.935,0.048,0.017
2229.7,0.3172994488671158,0.941,0.046,0.013
2251.7,0.31056338028169017,0.928,0.062,0.01
2262.7,0.30719534598897735,0.954,0.037,0.009
2273.7,0.30382731169626465,0.96,0.03,0.01
2284.7,0.3004592774035518,0.949,0.041,0.01
2306.7,0.2937232088181262,0.876,0.111,0.013
2317.7,0.2903551745254134,0.956,0.032,0.012
2328.7,0.28698714023270055,0.96,0.029,0.012
2339.6,0.28364972443355785,0.97,0.018,0.012
2361.7,0.2768830373545622,0.938,0.046,0.016
2372.7,0.2735150030618494,0.926,0.062,0.012
2383.7,0.2701469687691366,0.941,0.035,0.025
2394.7,0.26677893447642387,0.952,0.032,0.016
2405.7,0.26341090018371105,0.959,0.03,0.011
2416.7,0.26004286589099823,0.955,0.035,0.01
2427.7,0.2566748315982854,0.961,0.026,0.013
2438.9,0.25324556031843226,0.967,0.022,0.011
2460.7,0.24657072872014707,0.951,0.034,0.015
2471.6,0.24323331292100436,0.953,0.033,0.014
2482.6,0.23986527862829155,0.971,0.017,0.012
2493.7,0.23646662584200862,0.943,0.034,0.023
2504.7,0.2330985915492958,0.983,0.01,0.007
2515.7,0.22973055725658298,0.977,0.017,0.007
2526.7,0.22636252296387027,0.955,0.033,0.012
2537.7,0.22299448867115745,0.972,0.022,0.006
2548.7,0.21962645437844464,0.967,0.023,0.01
2559.7,0.21625842008573182,0.966,0.022,0.012
