z,zrel,T
-5.0,0.995819397993311,-20.764
-6.0,0.9949832775919732,-21.425
-7.0,0.9941471571906354,-21.577
-8.0,0.9933110367892977,-21.755
-9.0,0.9924749163879598,-21.806
-10.0,0.9916387959866221,-21.806
-11.0,0.9908026755852842,-21.806
-12.0,0.9899665551839465,-21.781
-13.0,0.9891304347826086,-21.73
-14.0,0.9882943143812709,-21.704
-15.0,0.9874581939799331,-21.704
-16.0,0.9866220735785953,-21.628
-17.0,0.9857859531772575,-21.654
-18.0,0.9849498327759197,-21.654
-20.0,0.9832775919732442,-21.628
-21.0,0.9824414715719063,-21.628
-22.0,0.9816053511705686,-21.628
-23.0,0.9807692307692307,-21.628
-24.0,0.979933110367893,-21.628
-25.0,0.9790969899665551,-21.628
-26.0,0.9782608695652174,-21.654
-26.0,0.9782608695652174,-21.654
-27.0,0.9774247491638796,-21.704
-28.0,0.9765886287625418,-21.654
-28.0,0.9765886287625418,-21.654
-29.0,0.975752508361204,-21.679
-30.0,0.9749163879598662,-21.654
-31.0,0.9740802675585284,-21.654
-32.0,0.9732441471571907,-21.679
-33.0,0.9724080267558528,-21.679
-34.0,0.9715719063545151,-21.679
-35.0,0.9707357859531772,-21.679
-36.0,0.9698996655518395,-21.704
-37.0,0.9690635451505016,-21.704
-38.0,0.9682274247491639,-21.704
-39.0,0.967391304347826,-21.7304
-40.0,0.9665551839464883,-21.7361
-42.0,0.9648829431438127,-21.7463
-44.0,0.9632107023411371,-21.7595
-46.0,0.9615384615384616,-21.7721
-48.0,0.959866220735786,-21.7855
-50.0,0.9581939799331104,-21.8007
-55.0,0.9540133779264214,-21.8312
-60.0,0.9498327759197325,-21.8619
-65.0,0.9456521739130435,-21.8893
-70.0,0.9414715719063546,-21.9154
-75.0,0.9372909698996655,-21.9391
-80.0,0.9331103678929766,-21.9595
-85.0,0.9289297658862876,-21.9773
-90.0,0.9247491638795986,-21.9918
-95.0,0.9205685618729097,-22.0054
-100.0,0.9163879598662208,-22.0142
-110.0,0.9080267558528428,-22.0282
-120.0,0.8996655518394648,-22.0385
-130.0,0.8913043478260869,-22.0475
-140.0,0.882943143812709,-22.014
-160.0,0.8662207357859532,-22.045
-180.0,0.8494983277591973,-22.043
-186.5262181,0.8440416236622074,-22.028
-205.7618209,0.8279583437290969,-22.021
-205.7618209,0.8279583437290969,-22.001
-224.9875238,0.8118833413043478,-21.992
-244.2231266,0.7958000613712375,-21.977
-263.4587294,0.7797167814381272,-21.956
-282.6844322,0.7636417790969899,-21.936
-301.920035,0.7475584991638796,-21.909
-321.1556378,0.7314752192307692,-21.878
-340.3813407,0.7154002168060201,-21.845
-359.6169435,0.6993169368729097,-21.809
-378.8426463,0.6832419345317726,-21.772
-398.0782491,0.6671586545986622,-21.729
-417.3138519,0.6510753746655519,-21.679
-436.5395548,0.6350003722408026,-21.624
