z,zrel,A,log10A
33.092,0.9869716535433071,0.7784,-0.1087971727397045
33.367,0.9868633858267717,0.5695,-0.24450627158488084
44.0,0.9826771653543307,0.7765999999999998,-0.10980261378997129
55.0,0.9783464566929134,0.9337,-0.029792641193145373
55.367,0.978201968503937,0.8431,-0.07412091069849919
66.0,0.974015748031496,1.0391,0.016657344822202012
77.0,0.9696850393700788,1.2795,0.1070402902232043
77.367,0.9695405511811024,1.1834,0.07313156494099309
88.0,0.9653543307086614,1.5643,0.19432004530342217
99.0,0.9610236220472441,1.9894999999999998,0.29874394348240707
99.367,0.9608791338582677,1.7991,0.25505530355744177
110.0,0.9566929133858267,1.5088,0.17863167539325311
121.0,0.9523622047244095,1.923,0.2839792842384799
123.75,0.9512795275590551,2.2096,0.3443136612345561
123.842,0.9512433070866142,1.9174,0.28271272303526657
123.933,0.9512074803149606,2.3316,0.3676540466474073
132.0,0.9480314960629921,1.8157,0.25904409357523217
132.092,0.9479952755905512,1.9894999999999998,0.29874394348240707
132.183,0.9479594488188976,2.3149,0.3645322349279597
132.275,0.9479232283464567,1.8379,0.26432187776300575
132.367,0.9478870078740158,1.9599,0.292233912909475
143.0,0.9437007874015748,2.4092,0.3818728544985428
154.183,0.939298031496063,2.6163,0.4176875412097526
170.5,0.9328740157480315,3.0508,0.4844137377166764
187.0,0.9263779527559055,3.3541,0.5255760066304651
209.0,0.9177165354330709,3.2339,0.5097265863435255
220.0,0.9133858267716536,3.2783,0.5156486937076319
231.0,0.9090551181102362,3.2505,0.5119501703754992
242.0,0.9047244094488189,4.5356,0.6566347466227852
242.092,0.9046881889763779,5.3233,0.7261809419708454
242.183,0.9046523622047244,3.931,0.5945030438200891
242.275,0.9046161417322834,3.0767,0.4880851515297523
242.367,0.9045799212598425,3.8977,0.5908084090867618
258.5,0.8982283464566929,3.8994999999999997,0.5910089246773104
264.0,0.8960629921259843,3.6647,0.5640384281784391
264.183,0.8959909448818898,4.2897,0.6324269208792883
275.0,0.8917322834645669,4.3821,0.6416822839852192
297.0,0.8830708661417322,3.6203,0.558744560297304
308.0,0.878740157480315,3.7053999999999996,0.5688350971779536
319.0,0.8744094488188976,4.5023,0.6534344298034946
330.0,0.8700787401574803,4.8758,0.6880458830255517
346.5,0.8635826771653543,4.757499999999999,0.677378796959058
346.592,0.8635464566929134,4.8074,0.681910259129991
346.683,0.8635106299212598,4.896199999999999,0.6898591495628213
346.775,0.8634744094488189,5.6487,0.7519485101577668
346.867,0.8634381889763779,4.4727,0.6505697694639768
352.0,0.8614173228346457,3.9846,0.6003847306224877
