z,zrel,lam1,lam2,lam3
33.092,0.9869716535433071,0.55751,0.23081,0.21168
33.367,0.9868633858267717,0.43851,0.34093,0.22056
44.0,0.9826771653543307,0.60997,0.21573,0.1743
55.0,0.9783464566929134,0.50325,0.28513,0.21162
55.367,0.978201968503937,0.54532,0.26896,0.18573
66.0,0.974015748031496,0.54721,0.25547,0.19731
77.0,0.9696850393700788,0.56434,0.2518,0.18386
77.367,0.9695405511811024,0.53166,0.25842,0.20993
88.0,0.9653543307086614,0.52543,0.26847,0.2061
99.0,0.9610236220472441,0.5685,0.23377,0.19774
99.367,0.9608791338582677,0.53897,0.25255,0.20848
110.0,0.9566929133858267,0.43189,0.35543,0.21268
121.0,0.9523622047244095,0.53054,0.2682,0.20126
123.75,0.9512795275590551,0.48982,0.27625,0.23393
123.842,0.9512433070866142,0.4805,0.28072,0.23878
123.933,0.9512074803149606,0.60446,0.20549,0.19005
132.0,0.9480314960629921,0.49109,0.29349,0.21542
132.092,0.9479952755905512,0.42526,0.32816,0.24658
132.183,0.9479594488188976,0.51994,0.2708,0.20926
132.275,0.9479232283464567,0.51268,0.27693,0.21039
132.367,0.9478870078740158,0.63716,0.18968,0.17315
143.0,0.9437007874015748,0.5983,0.21004,0.19167
154.183,0.939298031496063,0.49033,0.28641,0.22325
170.5,0.9328740157480315,0.52232,0.25273,0.22495
187.0,0.9263779527559055,0.59214,0.22012,0.18775
209.0,0.9177165354330709,0.55338,0.23063,0.216
220.0,0.9133858267716536,0.53224,0.24456,0.2232
231.0,0.9090551181102362,0.54874,0.23678,0.21448
242.0,0.9047244094488189,0.5631,0.22887,0.20804
242.092,0.9046881889763779,0.55546,0.2313,0.21324
242.183,0.9046523622047244,0.52397,0.25135,0.22468
242.275,0.9046161417322834,0.52865,0.26535,0.206
242.367,0.9045799212598425,0.54612,0.23977,0.21411
258.5,0.8982283464566929,0.54376,0.24939,0.20685
264.0,0.8960629921259843,0.53493,0.26449,0.20058
264.183,0.8959909448818898,0.50711,0.27609,0.2168
275.0,0.8917322834645669,0.58501,0.23607,0.17892
297.0,0.8830708661417322,0.59725,0.2407,0.16205
308.0,0.878740157480315,0.58691,0.21242,0.20067
319.0,0.8744094488188976,0.56102,0.23905,0.19993
330.0,0.8700787401574803,0.58846,0.21828,0.19326
346.5,0.8635826771653543,0.61996,0.21598,0.16406
346.592,0.8635464566929134,0.6041,0.22981,0.16609
346.683,0.8635106299212598,0.61031,0.21611,0.17358
346.775,0.8634744094488189,0.61845,0.20792,0.17363
346.867,0.8634381889763779,0.59365,0.23283,0.17352
352.0,0.8614173228346457,0.63485,0.20003,0.16512
374.0,0.852755905511811,0.61425,0.23056,0.15519
385.0,0.8484251968503937,0.58212,0.2547,0.16318
396.0,0.8440944881889764,0.60709,0.21621,0.17669
407.183,0.8396917322834646,0.58416,0.22952,0.18632
418.0,0.8354330708661417,0.60847,0.22428,0.16725
429.0,0.8311023622047244,0.59307,0.23045,0.17648
429.092,0.8310661417322834,0.54286,0.26467,0.19248
440.0,0.8267716535433071,0.59857,0.21439,0.18704
451.0,0.8224409448818898,0.60276,0.21962,0.17762
462.0,0.8181102362204724,0.58047,0.22399,0.19554
462.092,0.8180740157480315,0.68387,0.17253,0.1436
462.183,0.8180381889763779,0.60455,0.20925,0.1862
462.275,0.818001968503937,0.62424,0.21591,0.15985
462.367,0.817965748031496,0.60186,0.21575,0.18239
473.0,0.8137795275590551,0.55125,0.25301,0.19574
484.0,0.8094488188976378,0.63852,0.21755,0.14393
495.0,0.8051181102362205,0.61821,0.21758,0.16421
506.0,0.8007874015748031,0.60013,0.23787,0.162
517.0,0.7964566929133858,0.64656,0.20314,0.1503
528.0,0.7921259842519686,0.65833,0.17947,0.1622
539.0,0.7877952755905512,0.63382,0.20039,0.16579
561.0,0.7791338582677165,0.69007,0.2252,0.08473
561.092,0.7790976377952756,0.53958,0.25588,0.20454
561.183,0.779061811023622,0.62007,0.21819,0.16174
577.5,0.7726377952755905,0.65359,0.20273,0.14368
583.0,0.7704724409448819,0.63307,0.1845,0.18244
594.0,0.7661417322834646,0.64831,0.217,0.13469
607.2,0.7609448818897637,0.63389,0.23826,0.12785
630.392,0.7518141732283464,0.68334,0.18244,0.13422
630.758,0.7516700787401575,0.58995,0.2382,0.17185
652.3,0.7431889763779528,0.57729,0.23651,0.1862
652.483,0.7431169291338583,0.65224,0.20114,0.14662
652.575,0.7430807086614173,0.61828,0.20553,0.17619
652.758,0.7430086614173228,0.60914,0.22437,0.16649
674.3,0.7345275590551181,0.60485,0.24161,0.15354
674.392,0.7344913385826771,0.5999,0.23384,0.16626
674.483,0.7344555118110236,0.62858,0.20919,0.16223
674.575,0.7344192913385826,0.65321,0.21182,0.13497
674.667,0.7343830708661417,0.62849,0.21276,0.15876
674.758,0.7343472440944881,0.63586,0.20426,0.15988
717.75,0.7174212598425197,0.62589,0.21125,0.16286
717.842,0.7173850393700787,0.59454,0.24987,0.15559
717.933,0.7173492125984252,0.60679,0.25135,0.14185
718.025,0.7173129921259842,0.57285,0.26007,0.16707
718.117,0.7172767716535433,0.6622,0.20163,0.13617
718.208,0.7172409448818897,0.55352,0.29114,0.15534
739.75,0.708759842519685,0.58671,0.24093,0.17236
739.842,0.7087236220472442,0.62167,0.20676,0.17157
739.933,0.7086877952755906,0.64061,0.21263,0.14677
740.025,0.7086515748031497,0.63926,0.22577,0.13498
740.117,0.7086153543307087,0.60628,0.22372,0.17
740.208,0.7085795275590552,0.65915,0.17847,0.16238
755.7,0.7024803149606299,0.618,0.22754,0.15446
755.792,0.7024440944881889,0.70235,0.17024,0.12741
755.883,0.7024082677165354,0.64356,0.20619,0.15025
755.975,0.7023720472440944,0.63853,0.20352,0.15796
756.067,0.7023358267716535,0.63667,0.23827,0.12507
756.158,0.7022999999999999,0.64304,0.19982,0.15715
783.75,0.6914370078740157,0.67091,0.20454,0.12456
783.842,0.6914007874015748,0.64958,0.20259,0.14784
783.933,0.6913649606299213,0.6372,0.23805,0.12475
784.025,0.6913287401574804,0.69125,0.20984,0.09891
784.117,0.6912925196850395,0.65626,0.23101,0.11273
784.208,0.6912566929133859,0.63747,0.24574,0.1168
822.25,0.6762795275590552,0.64871,0.22576,0.12553
822.342,0.6762433070866142,0.63682,0.24332,0.11986
822.433,0.6762074803149607,0.6231,0.2714,0.1055
822.525,0.6761712598425197,0.61342,0.26281,0.12377
822.617,0.6761350393700787,0.6385,0.20319,0.15831
822.708,0.6760992125984252,0.6442,0.2098,0.146
849.75,0.6654527559055118,0.60518,0.23333,0.16149
849.842,0.6654165354330709,0.67304,0.20087,0.12609
849.933,0.6653807086614174,0.62559,0.23158,0.14283
850.025,0.6653444881889764,0.70316,0.16763,0.1292
850.117,0.6653082677165354,0.64837,0.23581,0.11583
850.208,0.6652724409448819,0.63317,0.21808,0.14875
888.25,0.6502952755905511,0.69536,0.19709,0.10754
888.342,0.6502590551181102,0.64248,0.22475,0.13277
888.433,0.6502232283464566,0.72682,0.14944,0.12374
888.525,0.6501870078740157,0.6774,0.19924,0.12336
888.617,0.6501507874015748,0.67981,0.20309,0.1171
888.708,0.6501149606299212,0.66284,0.21044,0.12672
921.25,0.6373031496062992,0.6561,0.21177,0.13213
921.342,0.6372669291338583,0.63741,0.25511,0.10748
921.433,0.6372311023622047,0.66062,0.22396,0.11542
921.525,0.6371948818897638,0.71134,0.18821,0.10045
921.617,0.6371586614173228,0.68379,0.21587,0.10034
921.708,0.6371228346456693,0.64344,0.23715,0.11941
970.75,0.6178149606299213,0.694,0.15428,0.15172
970.842,0.6177787401574804,0.69126,0.22823,0.08051
970.933,0.6177429133858268,0.68998,0.21895,0.09107
971.025,0.6177066929133859,0.68076,0.24198,0.07726
971.117,0.617670472440945,0.67346,0.22137,0.10517
971.208,0.6176346456692914,0.67588,0.20863,0.11548
997.7,0.6072047244094487,0.69846,0.17317,0.12836
997.792,0.6071685039370078,0.69605,0.18001,0.12395
997.883,0.6071326771653542,0.6999,0.18198,0.11811
997.975,0.6070964566929133,0.73045,0.16789,0.10166
998.067,0.6070602362204724,0.68775,0.18891,0.12334
998.158,0.6070244094488189,0.67886,0.19976,0.12138
1025.75,0.5961614173228347,0.62817,0.25865,0.11318
1025.842,0.5961251968503937,0.6748,0.22657,0.09863
1025.933,0.5960893700787402,0.74022,0.17884,0.08093
1026.025,0.5960531496062992,0.71463,0.19384,0.09153
1026.117,0.5960169291338583,0.66698,0.22767,0.10535
1026.208,0.5959811023622047,0.70372,0.21938,0.0769
1036.2,0.5920472440944882,0.67363,0.20622,0.12015
1036.292,0.5920110236220473,0.67852,0.18934,0.13213
1036.383,0.5919751968503937,0.70499,0.18604,0.10897
1036.475,0.5919389763779528,0.62539,0.25695,0.11766
1036.567,0.5919027559055119,0.72035,0.18489,0.09476
1036.658,0.5918669291338583,0.68256,0.18851,0.12894
1042.25,0.5896653543307087,0.70732,0.19044,0.10224
1042.342,0.5896291338582677,0.69196,0.21027,0.09777
1042.433,0.5895933070866142,0.6818,0.23118,0.08702
1042.525,0.5895570866141733,0.71504,0.19812,0.08684
1042.617,0.5895208661417324,0.69933,0.21304,0.08762
1042.708,0.5894850393700788,0.66752,0.22907,0.10341
1047.75,0.5875,0.67161,0.23302,0.09537
1047.842,0.587463779527559,0.62405,0.27993,0.09602
1047.933,0.5874279527559055,0.64518,0.24754,0.10728
1048.025,0.5873917322834645,0.705,0.20747,0.08752
1048.117,0.5873555118110236,0.67102,0.22077,0.10821
1048.208,0.58731968503937,0.69259,0.17457,0.13283
1069.75,0.5788385826771654,0.6889,0.2314,0.0797
1069.933,0.5787665354330709,0.6914,0.21415,0.09444
1070.025,0.5787303149606299,0.68872,0.20712,0.10416
1070.117,0.578694094488189,0.70786,0.19576,0.09638
1070.208,0.5786582677165354,0.71634,0.18569,0.09797
1097.8,0.5677952755905512,0.72688,0.17699,0.09612
1097.892,0.5677590551181102,0.68991,0.23154,0.07855
1097.983,0.5677232283464567,0.69936,0.21064,0.09
1098.075,0.5676870078740157,0.66259,0.24198,0.09543
1098.167,0.5676507874015748,0.66973,0.20836,0.1219
1098.258,0.5676149606299212,0.69477,0.22318,0.08205
1103.392,0.5655937007874016,0.68286,0.17879,0.13835
1103.483,0.5655578740157481,0.69122,0.23093,0.07785
1103.575,0.5655216535433071,0.72969,0.15856,0.11175
1103.667,0.5654854330708662,0.71226,0.1882,0.09954
1103.758,0.5654496062992126,0.7214,0.17384,0.10476
1114.85,0.5610826771653543,0.71828,0.19255,0.08917
1114.942,0.5610464566929134,0.73633,0.16127,0.1024
1115.033,0.5610106299212598,0.66883,0.22675,0.10442
1115.125,0.5609744094488189,0.70524,0.17973,0.11503
1115.217,0.5609381889763779,0.73722,0.17149,0.09129
1115.308,0.5609023622047244,0.68424,0.20665,0.1091
1124.75,0.5571850393700788,0.68054,0.22535,0.09411
1124.842,0.5571488188976377,0.67155,0.24093,0.08752
1124.933,0.5571129921259843,0.68902,0.21253,0.09845
1125.025,0.5570767716535432,0.69809,0.23167,0.07024
1125.117,0.5570405511811023,0.67937,0.2253,0.09533
1125.208,0.5570047244094487,0.74999,0.1825,0.06751
1136.3,0.5526377952755905,0.69069,0.19887,0.11044
1136.392,0.5526015748031496,0.68995,0.20947,0.10058
1136.483,0.552565748031496,0.74117,0.14954,0.10929
1136.575,0.5525295275590552,0.75448,0.14301,0.10251
1136.667,0.5524933070866143,0.67084,0.21517,0.11399
1136.758,0.5524574803149607,0.68588,0.20319,0.11094
1136.85,0.5524212598425198,0.69862,0.18739,0.11398
1136.942,0.5523850393700787,0.7107,0.16418,0.12512
1137.033,0.5523492125984253,0.70799,0.17394,0.11808
1137.125,0.5523129921259842,0.70126,0.2064,0.09233
1137.217,0.5522767716535433,0.59383,0.27402,0.13216
1137.308,0.5522409448818897,0.71593,0.16532,0.11875
1146.2,0.548740157480315,0.73841,0.17789,0.08371
1146.292,0.5487039370078741,0.74297,0.16228,0.09475
1146.383,0.5486681102362205,0.70622,0.20108,0.0927
1146.475,0.5486318897637796,0.72935,0.16729,0.10336
1146.567,0.5485956692913385,0.70581,0.19869,0.0955
1146.658,0.5485598425196851,0.68909,0.19735,0.11356
1158.025,0.5440846456692914,0.7094,0.20761,0.08299
1158.208,0.5440125984251969,0.73088,0.19711,0.07201
1185.25,0.5333661417322835,0.80474,0.13814,0.05713
1185.617,0.5332216535433071,0.7196,0.1647,0.1157
1211.742,0.522936220472441,0.73474,0.19274,0.07252
1212.017,0.5228279527559054,0.70644,0.2187,0.07486
1212.108,0.5227921259842521,0.71726,0.22604,0.0567
1218.433,0.520301968503937,0.72679,0.21684,0.05637
1218.525,0.5202657480314961,0.71597,0.17599,0.10804
1218.617,0.5202295275590552,0.6971,0.22243,0.08046
1224.392,0.517955905511811,0.7417,0.19049,0.06781
1224.483,0.5179200787401574,0.7673,0.16886,0.06384
1224.575,0.5178838582677165,0.73595,0.1899,0.07416
1228.7,0.516259842519685,0.71802,0.21892,0.06306
1228.883,0.5161877952755906,0.76732,0.17742,0.05525
1229.158,0.5160795275590552,0.73582,0.18397,0.08021
1234.75,0.5138779527559055,0.73399,0.1968,0.06921
1235.025,0.51376968503937,0.67645,0.23827,0.08528
1235.117,0.5137334645669291,0.73785,0.17822,0.08393
1235.208,0.5136976377952756,0.75908,0.18282,0.0581
1250.792,0.5075622047244095,0.71611,0.23137,0.05252
1250.883,0.5075263779527559,0.76956,0.15854,0.0719
