z,zrel,T
-80.04,0.9684881889763779,-28.94297
-90.08,0.9645354330708662,-29.04594
-99.96,0.9606456692913385,-29.08342
-110.0,0.9566929133858267,-29.10216
-120.01,0.952751968503937,-29.12091
-129.93,0.9488464566929133,-29.13028
-139.95,0.9449015748031496,-29.13966
-150.2,0.9408661417322834,-29.14903
-159.94,0.9370314960629922,-29.15841
-169.98,0.9330787401574803,-29.15841
-179.95,0.9291535433070867,-29.15841
-189.96,0.9252125984251969,-29.15841
-200.04,0.921244094488189,-29.14903
-210.01,0.9173188976377953,-29.14903
-219.99,0.9133897637795275,-29.13966
-229.99,0.9094527559055118,-29.13028
-239.98,0.9055196850393701,-29.13028
-249.92,0.9016062992125984,-29.11153
-260.03,0.8976259842519685,-29.11153
-270.07,0.8936732283464567,-29.10216
-280.09,0.889728346456693,-29.09279
-290.12,0.8857795275590551,-29.07405
-300.09,0.8818543307086615,-29.07405
-310.06,0.8779291338582678,-29.06468
-320.11,0.8739724409448819,-29.05531
-329.97,0.8700905511811023,-29.04594
-339.99,0.8661456692913385,-29.03658
-350.02,0.8621968503937008,-29.02721
-360.06,0.858244094488189,-29.02721
-370.0,0.8543307086614174,-29.01785
-380.01,0.8503897637795276,-29.00848
-380.02,0.8503858267716535,-29.00848
-390.03,0.8464448818897639,-29.00848
-399.99,0.8425236220472441,-28.99912
-409.96,0.8385984251968504,-28.99912
-419.96,0.8346614173228346,-28.98976
-430.06,0.8306850393700788,-28.98976
-440.13,0.8267204724409449,-28.98976
-449.94,0.8228582677165355,-28.9804
-460.01,0.8188937007874015,-28.9804
-470.08,0.8149291338582677,-28.9804
-480.01,0.81101968503937,-28.9804
-490.0,0.8070866141732284,-28.9804
-499.9,0.8031889763779527,-28.9804
-519.88,0.7953228346456693,-28.9804
-519.89,0.7953188976377953,-28.9804
-539.98,0.7874094488188976,-28.9804
-559.94,0.7795511811023622,-28.9804
-580.03,0.7716417322834646,-28.98976
-600.04,0.763763779527559,-28.98976
-619.93,0.7559330708661418,-28.98976
-639.92,0.7480629921259843,-28.99912
-660.08,0.7401259842519685,-29.00848
-680.04,0.7322677165354331,-29.00848
-699.96,0.7244251968503936,-29.01785
-720.07,0.716507874015748,-29.02721
-740.03,0.7086496062992126,-29.02721
-759.94,0.7008110236220473,-29.03658
-779.83,0.69298031496063,-29.04594
-799.99,0.6850433070866142,-29.04594
-819.92,0.6771968503937008,-29.05531
-839.96,0.6693070866141733,-29.05531
-859.93,0.6614448818897638,-29.05531
-879.98,0.6535511811023622,-29.05531
-899.9,0.6457086614173229,-29.04594
-919.81,0.6378700787401574,-29.04594
-939.98,0.6299291338582678,-29.03658
-959.84,0.6221102362204725,-29.02721
-979.93,0.6142007874015748,-29.00848
-999.96,0.6063149606299212,-28.98976
-1049.93,0.5866417322834645,-28.92426
-1049.94,0.5866377952755906,-28.92426
-1100.02,0.5669212598425197,-28.83077
-1150.0,0.547244094488189,-28.70937
-1199.9,0.5275984251968504,-28.54154
-1250.05,0.5078543307086614,-28.32751
-1300.03,0.48817716535433076,-28.05829
-1349.99,0.468507874015748,-27.73427
-1399.95,0.44883858267716537,-27.35586
-1450.01,0.4291299212598425,-26.90514
-1500.01,0.4094448818897638,-26.38266
-1550.1,0.3897244094488189,-25.18796
-1600.12,0.3700314960629921,-24.38891
-1650.05,0.3503740157480315,-24.38891
-1699.97,0.3307204724409448,-23.65495
-1750.08,0.31099212598425197,-23.33808
-1799.96,0.29135433070866146,-21.64511
-1850.07,0.2716259842519685,-20.45593
-1899.94,0.2519921259842519,-19.94593
-1950.12,0.23223622047244097,-18.55431
-1999.92,0.21262992125984248,-17.5292
-2049.98,0.19292125984251973,-16.22234
-2099.97,0.17324015748031507,-14.96304
-2149.91,0.1535787401574804,-13.66327
-2199.94,0.13388188976377946,-12.31784
-2249.95,0.11419291338582682,-10.94112
-2299.96,0.09450393700787396,-9.538329
-2350.02,0.07479527559055121,-8.061397
-2399.97,0.05512992125984262,-6.790422
-2450.52,0.03522834645669293,-5.202913
-2499.91,0.01578346456692914,-3.824851
-2509.98,0.011818897637795311,-3.716716
-2519.88,0.007921259842519679,-3.608262
-2526.57,0.005287401574803119,-3.596192
-2529.86,0.003992125984251915,-3.584117
-2532.88,0.002803149606299127,-3.6806
