z,zrel,lam1,lam2,lam3
165.0,0.946515397082658,0.542511,0.239361,0.218128
220.1,0.9286547811993517,0.49079,0.259344,0.249866
275.55,0.9106807131280389,0.510211,0.273037,0.216752
330.1,0.892998379254457,0.541683,0.240893,0.217424
385.0,0.8752025931928687,0.558658,0.243169,0.198172
440.1,0.8573419773095624,0.502884,0.2773,0.219816
495.65,0.8393354943273906,0.50091,0.282489,0.216602
550.1,0.8216855753646677,0.577909,0.225756,0.196336
605.04,0.8038768233387359,0.585998,0.234163,0.179839
659.45,0.7862398703403566,0.575687,0.239221,0.185092
713.71,0.7686515397082658,0.583041,0.218811,0.198148
770.0,0.7504051863857375,0.647632,0.191913,0.160455
805.75,0.7388168557536468,0.690439,0.170344,0.139217
825.92,0.7322787682333873,0.621456,0.201036,0.177508
861.3,0.720810372771475,0.600269,0.264664,0.135067
880.65,0.7145380875202594,0.624967,0.239478,0.135555
924.0,0.7004862236628849,0.693813,0.164807,0.14138
970.75,0.6853322528363047,0.631344,0.221772,0.146884
1036.2,0.6641166936790923,0.638587,0.208795,0.152618
1082.4,0.6491410048622366,0.654401,0.227057,0.118543
1146.2,0.6284602917341977,0.67163,0.209959,0.118411
1192.95,0.6133063209076175,0.705769,0.194786,0.099445
1244.65,0.596547811993517,0.690341,0.178415,0.131245
1301.3,0.5781847649918963,0.467659,0.309885,0.222456
1308.45,0.5758670988654782,0.724772,0.177694,0.097535
1319.45,0.5723014586709887,0.671518,0.202636,0.125845
1328.25,0.5694489465153971,0.710333,0.204802,0.084864
1335.95,0.5669529983792545,0.637959,0.259278,0.102763
1341.45,0.5651701782820098,0.727395,0.175975,0.096629
1352.45,0.5616045380875203,0.624825,0.259971,0.115204
1359.79,0.5592252836304701,0.544374,0.314171,0.141454
1368.05,0.556547811993517,0.677429,0.198717,0.123855
1374.45,0.5544732576985414,0.6469,0.229799,0.1233
1385.45,0.5509076175040519,0.683299,0.197368,0.119334
1396.45,0.5473419773095625,0.730838,0.177379,0.091783
1405.25,0.5444894651539709,0.687209,0.223037,0.089754
1410.75,0.5427066450567262,0.696885,0.223343,0.079772
1415.15,0.5412803889789303,0.692133,0.240083,0.067784
1422.3,0.5389627228525122,0.721254,0.200379,0.078368
1429.45,0.536645056726094,0.661557,0.233343,0.1051
1434.4,0.5350405186385737,0.66944,0.229069,0.101491
1440.45,0.5330794165316045,0.706957,0.202823,0.09022
1451.45,0.529513776337115,0.700251,0.212559,0.08719
1455.85,0.5280875202593194,0.6737,0.226908,0.099392
1458.05,0.5273743922204215,0.664773,0.245453,0.089775
1460.8,0.5264829821717991,0.659943,0.252724,0.087333
1466.3,0.5247001620745544,0.712273,0.202331,0.085396
1469.6,0.5236304700162075,0.760312,0.17707,0.062618
1480.05,0.5202431118314425,0.638053,0.256606,0.105341
1488.85,0.517390599675851,0.660289,0.240556,0.099155
1492.15,0.516320907617504,0.651239,0.260029,0.088732
1495.45,0.5152512155591572,0.685217,0.236968,0.077816
1500.95,0.5134683954619125,0.721133,0.211632,0.067234
1503.7,0.5125769854132901,0.703638,0.2109,0.085462
1506.45,0.5116855753646677,0.724008,0.201218,0.074774
1511.95,0.509902755267423,0.699216,0.22646,0.074325
1517.45,0.5081199351701783,0.7062,0.229064,0.064736
1521.85,0.5066936790923825,0.744424,0.20238,0.053196
1526.25,0.5052674230145867,0.708749,0.207987,0.083264
1530.65,0.5038411669367908,0.696641,0.235245,0.068113
1537.8,0.5015235008103728,0.711223,0.20701,0.081767
1543.85,0.4995623987034036,0.746072,0.197609,0.056319
1553.2,0.49653160453808753,0.709015,0.23318,0.057805
1557.6,0.49510534846029175,0.694249,0.225949,0.079802
1560.35,0.4942139384116694,0.718207,0.205153,0.07664
1563.1,0.493322528363047,0.705238,0.225093,0.069669
1568.6,0.4915397082658023,0.767243,0.173778,0.058979
1574.1,0.48975688816855756,0.770116,0.174589,0.055295
1583.45,0.4867260940032415,0.684689,0.230424,0.084887
1594.45,0.48316045380875206,0.766948,0.186279,0.046773
1597.75,0.4820907617504052,0.696892,0.23539,0.067719
1601.6,0.4808427876823339,0.7427,0.182203,0.075097
1607.1,0.4790599675850892,0.723966,0.213408,0.062626
1616.45,0.47602917341977313,0.754872,0.189401,0.055727
1625.25,0.47317666126418156,0.715884,0.228158,0.055958
1626.9,0.47264181523500803,0.742862,0.202729,0.054409
1634.6,0.4701458670988655,0.698514,0.242563,0.058922
1640.1,0.4683630470016208,0.775995,0.180796,0.04321
1649.45,0.46533225283630464,0.786986,0.149457,0.063557
1659.9,0.46194489465153965,0.701538,0.241911,0.056551
1682.45,0.45463533225283626,0.767168,0.175825,0.057007
1690.7,0.45196110210696916,0.698094,0.250524,0.051382
1700.25,0.44886547811993516,0.745891,0.207902,0.046207
1710.88,0.44541977309562397,0.743878,0.211293,0.04483
1723.53,0.4413192868719611,0.76596,0.184922,0.049119
1731.23,0.43882333873581847,0.73861,0.217137,0.044253
1741.13,0.43561426256077795,0.784033,0.178405,0.037562
1746.08,0.4340097244732577,0.665588,0.273051,0.061361
1749.0,0.433063209076175,0.725502,0.232823,0.041675
1763.13,0.42848298217179903,0.763501,0.19559,0.040909
1766.98,0.4272350081037277,0.68718,0.269033,0.043787
1775.05,0.4246191247974068,0.68944,0.262053,0.048507
1780.18,0.42295623987034037,0.7695,0.179596,0.050904
