z,zrel,lam1,lam2,lam3
-28,0.9827160493827161,0.4555,0.29208,0.25241
-38,0.9765432098765432,0.39036,0.33637,0.27327
-48,0.9703703703703703,0.51692,0.26039,0.2227
-58,0.9641975308641976,0.43948,0.29526,0.26526
-68,0.9580246913580247,0.46092,0.29042,0.24866
-78,0.9518518518518518,0.4848,0.28639,0.22881
-88,0.945679012345679,0.48421,0.25973,0.25605
-101,0.9376543209876543,0.47506,0.27426,0.25069
-111,0.9314814814814815,0.47876,0.2769,0.24434
-121,0.9253086419753086,0.5148,0.25174,0.23346
-131,0.9191358024691358,0.51543,0.2493,0.23528
-141,0.912962962962963,0.47651,0.28055,0.24294
-151,0.9067901234567901,0.50284,0.26342,0.23374
-161,0.9006172839506172,0.53721,0.23572,0.22706
-171,0.8944444444444445,0.52386,0.26135,0.21478
-181,0.8882716049382716,0.52571,0.25224,0.22206
-191,0.8820987654320988,0.51464,0.25732,0.22804
-201,0.8759259259259259,0.49692,0.26898,0.23409
-211,0.8697530864197531,0.55615,0.23049,0.21336
-221,0.8635802469135803,0.55881,0.24564,0.19555
-241,0.8512345679012345,0.58675,0.21472,0.19853
-251,0.8450617283950617,0.55844,0.24726,0.1943
-261,0.8388888888888889,0.54698,0.24087,0.21215
-271,0.832716049382716,0.57902,0.22829,0.19268
-281,0.8265432098765432,0.55825,0.22565,0.2161
-291,0.8203703703703704,0.55157,0.23224,0.21619
-301,0.8141975308641975,0.57771,0.22082,0.20147
-311,0.8080246913580247,0.58737,0.22799,0.18463
-321,0.8018518518518518,0.56733,0.23973,0.19293
-341,0.7895061728395062,0.57256,0.23605,0.19139
-351,0.7833333333333333,0.59697,0.2183,0.18472
-361,0.7771604938271605,0.57631,0.22135,0.20234
-371,0.7709876543209877,0.5947,0.20704,0.19826
-381,0.7648148148148148,0.63581,0.206,0.1582
-391,0.758641975308642,0.63053,0.20314,0.16633
-401,0.7524691358024691,0.55993,0.22816,0.21192
-411,0.7462962962962962,0.62089,0.19752,0.1816
-421,0.7401234567901235,0.62906,0.20162,0.16932
-431,0.7339506172839506,0.62687,0.19315,0.17998
-441,0.7277777777777779,0.63755,0.19913,0.16332
-451,0.721604938271605,0.65193,0.20888,0.13919
-461,0.7154320987654321,0.64255,0.19474,0.16271
-471,0.7092592592592593,0.66866,0.17709,0.15425
-480,0.7037037037037037,0.67955,0.16876,0.15169
-500,0.691358024691358,0.63594,0.21012,0.15393
-518,0.6802469135802469,0.66191,0.19723,0.14085
-540,0.6666666666666667,0.66307,0.19145,0.14548
-560,0.654320987654321,0.72594,0.15773,0.11633
-570,0.6481481481481481,0.70914,0.16789,0.12297
-590,0.6358024691358024,0.68122,0.18851,0.13027
-611,0.6228395061728396,0.70708,0.15604,0.13688
-630,0.6111111111111112,0.70568,0.16986,0.12447
-638,0.6061728395061728,0.69851,0.16458,0.13691
-662,0.591358024691358,0.71849,0.18165,0.09986
-671,0.5858024691358025,0.71703,0.15741,0.12556
-681,0.5796296296296296,0.74818,0.17144,0.08038
-691,0.5734567901234568,0.76547,0.14943,0.0851
-696,0.5703703703703704,0.75355,0.13834,0.10811
-701,0.567283950617284,0.77147,0.13515,0.09338
-711,0.5611111111111111,0.6944,0.19967,0.10593
-721,0.5549382716049382,0.76596,0.12984,0.1042
-731,0.5487654320987654,0.71883,0.19146,0.0897
-741,0.5425925925925925,0.80952,0.11493,0.07555
-751,0.5364197530864198,0.76108,0.14828,0.09064
-761,0.5302469135802469,0.74251,0.15528,0.10221
-771,0.5240740740740741,0.80131,0.12379,0.0749
-781,0.5179012345679013,0.76089,0.12798,0.11113
-791,0.5117283950617284,0.81194,0.12441,0.06366
-801,0.5055555555555555,0.82082,0.11429,0.06489
-811,0.49938271604938267,0.81246,0.11821,0.06933
-821,0.4932098765432099,0.78751,0.12327,0.08922
-831,0.48703703703703705,0.86849,0.08823,0.04328
-841,0.4808641975308642,0.83121,0.12228,0.04651
-851,0.4746913580246913,0.8648,0.08316,0.05204
-861,0.46851851851851856,0.86524,0.09114,0.04362
-881,0.4561728395061728,0.86734,0.09342,0.03924
